description_short,n_high_opportunities,total_partner_import_v,avg_market_penetration
"Iron or non-alloy steel: bars and rods, hot-rolled, hot-draw",149,14036228.493,0.0
"Jerseys, pullovers, cardigans, waistcoats and similar articl",140,50925551.094,0.0
"Steel, stainless: flat-rolled, width 600mm or more, cold-rol",140,15336403.506000001,0.0
Iron or non-alloy steel: semi-finished products of iron or n,138,25925889.278,0.0
Vehicles: public transport type (carries 10 or more passenge,138,19118819.588,0.0
"Catalysts, supported: reaction initiators, reaction accelera",138,22505362.403,0.0
"Iron or non-alloy steel: in coils, flat-rolled, width 600mm ",135,13509515.67,0.0
"Tools: for working in the hand, with self-contained electric",132,18709902.403,0.0
"Sacks and bags: of a kind used for the packing of goods, of ",126,3890982.766,0.0
Motorcycles (including mopeds) and cycles: fitted with an au,126,13301168.282,0.0
Machines and apparatus of a kind used solely or principally ,126,88077230.055,0.0
Meat and edible offal: of fowls of the species Gallus domest,124,25808811.357,0.0
"Transformers: n.e.c. in item no. 8504.2, having a power hand",123,3804819.11,0.0
"Machine-tools: parts and accessories, for the machines of he",121,11134815.024,0.0
"Paper and paperboard: coated, impregnated or covered with pl",120,9652085.534,0.0
"Mechanical appliances: for projecting, dispersing or sprayin",118,9704686.439,0.0
"Iron or steel (excluding cast iron): tubes, pipes and hollow",118,8158230.3610000005,0.0
"Ethylene polymers: in primary forms, polyethylene having a s",117,50144931.1,0.0
"Iron or non-alloy steel: (not in coils), flat-rolled, of a w",117,20358000.741,0.0
"Refractory bricks, blocks, tiles and similar refractory cera",117,3718180.817,0.0
"Plastics: tubes, pipes and hoses thereof, rigid, of polymers",116,3865521.408,0.0
"Fabrics, woven: containing 85% or more by weight of textured",115,8262550.356,0.0
"Ceramic sinks, wash basins, wash basin pedestals, baths, bid",112,6675426.411,0.0
"Fabrics: knitted or crocheted fabrics, other than those of h",112,9530505.408,0.0
Apparatus based on the use of x-rays: including radiography ,111,10949102.164,0.0
Soap and organic surface-active products: in the form of bar,110,4617673.578,0.0
Iron or steel (excluding cast iron): line pipe of a kind use,110,6544733.291,0.0
Aeroplanes and other aircraft: of an unladen weight exceedin,109,135082264.13,0.0
Colouring matter: pigments and preparations based on titaniu,108,9851599.261,0.0
"Paints and varnishes: based on acrylic or vinyl polymers, di",108,7693074.013,0.0
"Iron or non-alloy steel: bars and rods, hot-rolled, in irreg",108,8049363.4,0.0
"Vegetable preparations: potatoes, prepared or preserved othe",107,14756164.07,0.0
"Food preparations: of flour, meal, starch, malt extract or m",106,16340198.487,0.0
"Elevators and conveyors: continuous-action, for goods or mat",105,10284557.513,0.0
"Washing and cleaning preparations: surface-active, whether o",105,20442821.9,0.0
Iron or steel (excluding cast iron or stainless steel): seam,104,13545344.316,0.0
"Plastics: plates, sheets, film, foil and strip, of polymers ",104,3770451.177,0.0
"Glass: float glass and surface ground or polished glass, in ",103,4302211.806,0.0
Vegetable oils: sunflower seed or safflower oil and their fr,101,16917175.838,0.0
Vehicles: bodies (including cabs) for the motor vehicles of ,101,11001211.341,0.0
Motorcycles (including mopeds) and cycles: fitted with auxil,101,10917816.207,0.0
"Copper: wire, of refined copper, of which the maximum cross-",101,23150095.192,0.0
"Iron or non-alloy steel: flat-rolled, hot-rolled, of a width",101,3105363.3479999998,0.0
"Boards, panels, consoles, desks and other bases: for electri",100,53257024.014,0.0
"Poultry: live, fowls of the species Gallus domesticus, weigh",99,3322783.359,0.0
Turbines: gas-turbines (excluding turbo-jets and turbo-prope,99,8819873.23,0.0
"Reception apparatus for television, whether or not incorpora",98,38917209.805999994,0.0
"Leather: further prepared after tanning or crusting, includi",98,4327609.757,0.0
"Printing, copying, and facsimile machines: single-function p",97,11672977.280000001,0.0
"Plastics: tubes, pipes and hoses thereof, other than those o",95,6344402.743,0.0
"Electric motors: AC motors, multi-phase, of an output exceed",94,17218411.406,0.0
"Paper & paperboard: uncoated, testliner (recycled linerboard",94,6642231.923,0.0
"Plastics: plates, sheets, film, foil, tape, strip, other fla",94,19274150.928,0.0
Communication apparatus (excluding telephone sets or base st,94,165820834.479,0.0
"Electric generators: AC generators, (alternators), of an out",93,5206375.407,0.0
Chocolate and other food preparations containing cocoa: in b,93,9702821.629,0.0
"Fabrics, woven: containing 85% or more by weight of cotton, ",93,2974171.399,0.0
"Carbon electrodes: with or without metal, of a kind used for",93,5214036.788,0.0
Perfumes and deodorizers: perfuming or deodorizing preparati,92,5788187.5540000005,0.0
"Vehicles: spark-ignition internal combustion piston engine, ",92,49929131.997,0.0
"Steel, alloy: flat-rolled, width 600mm or more, hot-rolled, ",92,10747242.434,0.0
"Wood pulp: chemical wood pulp, soda or sulphate, (other than",89,36507605.201,0.0
"Tea, black: (fermented) and partly fermented tea, in immedia",88,4696168.384000001,0.0
"Sports footwear: (other than ski-boots, snowboard boots or c",88,4742226.235,0.0
"Heterocyclic compounds: with nitrogen hetero-atom(s) only, c",86,8798104.935,0.0
"Frames and mountings: for spectacles, goggles or the like, o",85,6193339.1450000005,0.0
"Hydrometers and similar floating instruments, barometers, hy",85,3067613.508,0.0
Insulated electric conductors: for a voltage not exceeding 1,85,57905081.247,0.0
Aluminium: structures (excluding prefabricated buildings of ,85,13809547.327,0.0
Instruments and apparatus: for measuring or checking voltage,83,4872148.105,0.0
"Cases and containers: n.e.c. in heading 4202, with outer sur",82,20624133.389,0.0
"Garments: overcoats, raincoats, car-coats, capes, cloaks and",81,3395270.42,0.0
Engines: compression-ignition internal combustion piston eng,81,46091030.683,0.0
"Steel, alloy: flat-rolled, width 600mm or more, of silicon-e",81,6786147.426,0.0
Cases and containers: of a kind normally carried in the pock,81,6552211.892,0.0
"Cereals: rice, semi-milled or wholly milled, whether or not ",79,24850823.916,0.0
"Transmission apparatus for radio-broadcasting or television,",79,4751879.763,0.0
"Steel, alloy: flat-rolled, width 600mm or more, n.e.c. in he",79,11219001.206,0.0
Rubber: new pneumatic tyres having other than a herring-bone,79,10166208.888,0.0
"Dairy produce: milk and cream, not concentrated, not contain",79,9812895.549,0.0
Magnets: permanent magnets and articles intended to become p,78,7485775.076,0.0
"Blouses, shirts and shirt-blouses: women's or girls', of cot",78,5797031.725,0.0
"Heterocyclic compounds: with oxygen hetero-atom(s) only, con",78,5419348.937,0.0
Machinery: parts and accessories of the machines of heading ,77,108071547.471,0.0
"Crustacean preparations: shrimps and prawns, prepared or pre",76,5168934.329,0.0
"Blouses, shirts and shirt-blouses: women's or girls', of man",76,7058140.686,0.0
Petroleum gases and other gaseous hydrocarbons: in gaseous s,74,184436120.409,0.0
"Dairy produce: milk and cream, concentrated, not containing ",74,11418412.799,0.0
"Meat: of bovine animals, cuts with bone in (excluding carcas",74,8444628.603,0.0
"Fertilizers, mineral or chemical: nitrogenous, ammonium nitr",74,3654945.099,0.0
"Track suits and other garments n.e.c.: women's or girls', of",73,5260151.497,0.0
"Fertilizers, mineral or chemical: n.e.c. in heading no. 3105",73,2392063.982,0.0
Vaccines: for human medicine,73,61595945.408,0.0
"Iron or non-alloy steel: U sections, hot-rolled, hot-drawn o",72,1568213.365,0.0
Cases and containers: handbags (whether or not with shoulder,72,25813967.173,0.0
"Vinyl chloride, other halogenated olefin polymers: poly(viny",72,11465854.837,0.0
"Cements, mortars or concretes: their prepared additives",72,1718299.409,0.0
Vehicles: for transport of persons (other than those of head,71,313416691.652,0.0
"Herbicides, anti-sprouting products and plant-growth regulat",70,14971233.703,0.0
"Iron or steel, railway or tramway track construction materia",70,3095136.451,0.0
Wrist-watches: whether or not incorporating a stop-watch fac,70,18004897.005,0.0
"Wrist-watches: electrically operated, with or without a stop",70,8428888.792,0.0
"Meters: electricity supply or production meters, including c",70,4396678.878,0.0
"Iron or non-alloy steel: H sections, hot-rolled, hot-drawn o",69,5328460.719,0.0
Radio-broadcast receivers not capable of operating without a,69,6733065.949,0.0
"Mechanical shovels, excavators and shovel loaders: n.e.c. in",69,4985705.839,0.0
"Preparations with a basis of extracts, essences or concentra",68,2634083.164,0.0
"Electrical apparatus: transistors, (other than photosensitiv",68,34099145.267,0.0
Vegetable oils: low erucic acid rape or colza oil and its fr,67,13172793.596,0.0
Organo-sulphur compounds: methionine,67,2071879.7519999999,0.0
"Machinery: for filling, closing, sealing, capsuling or label",67,8813115.21,0.0
"Fertilizers, mineral or chemical: containing the three ferti",67,7940563.993,0.0
Rodenticides and other similar products n.e.c. in heading no,67,2238753.766,0.0
Vegetable preparations: vegetables and mixtures of vegetable,66,4918908.593,0.0
Finishing agents and dye carriers: to accelerate dyeing or f,66,3060661.59,0.0
Electrical energy,66,75744009.267,0.0
"Cereals: wheat and meslin, other than durum wheat, other tha",65,48551424.68,0.0
Anti-oxidising preparations and other compound stabilisers: ,65,3539353.697,0.0
"Fabrics, woven: of synthetic staple fibres, containing 85% o",65,1938329.202,0.0
"Machinery: industrial, for bakery and for the manufacture of",65,2673551.66,0.0
"Cranes: self-propelled derricks and cranes, on tyres, n.e.c.",65,3822244.943,0.0
"Cast iron: tubes, pipes and hollow profiles",64,1770145.5389999999,0.0
"Vinyl chloride, other halogenated olefin polymers: plasticis",64,1890039.161,0.0
Tableware and kitchenware: of porcelain or china,64,4279915.44,0.0
"Machines: for agglomerating, shaping or moulding solid miner",64,2221703.611,0.0
"Machines: for crushing or grinding earth, stone, ores or oth",64,4130588.356,0.0
Mastics: n.e.c. in heading no. 3214,64,2268764.276,0.0
"Boring or sinking machinery: self-propelled, n.e.c. in headi",64,3989055.427,0.0
Tanker trailers and tanker semi-trailers,64,1460902.537,0.0
"Iron or non-alloy steel (excluding cast iron): seamless, (ex",63,3861799.209,0.0
"Pumps: centrifugal, n.e.c. in heading no. 8413, for liquids",63,15260901.058,0.0
"Footwear: n.e.c. in heading no. 6403, (not covering the ankl",63,19425056.297,0.0
Fungicides: other than containing goods specified in Subhead,63,9647226.175999999,0.0
"Engines: reciprocating piston engines, of a kind used for th",63,41711756.762,0.0
Base stations,63,4066598.458,0.0
"Iron or non-alloy steel: wire, plated or coated with zinc",63,2098180.4329999997,0.0
"Chassis: fitted with engines, for the motor vehicles of head",63,3312886.9790000003,0.0
Distilling or rectifying plant: not used for domestic purpos,62,1546846.825,0.0
Malt: not roasted,62,4922899.381,0.0
"Machines, for sorting, screening, separating, washing, crush",62,8702168.331,0.0
"Machine-tools: bending, folding, straightening or flattening",62,2627842.201,0.0
Yeasts: active,62,1700358.0,0.0
"Ink: for printing, other than black, whether or not concentr",62,4983588.656,0.0
Asphalt or similar material: articles (e.g. petroleum bitume,62,1402876.678,0.0
Anti-freezing preparations and prepared de-icing fluids,62,1364256.549,0.0
Sewing machines: not household or automatic unit type,61,1448071.717,0.0
"Perfumery, cosmetic or toilet preparations: personal deodora",61,3843451.986,0.0
Vaccines: for veterinary medicine,61,4883058.914,0.0
"Iron or non-alloy steel: flat-rolled, width less than 600mm,",61,2489321.068,0.0
"Fertilizers, mineral or chemical: potassic, n.e.c. in headin",61,1483075.245,0.0
Fibres: artificial filament tow,61,3197172.377,0.0
"Iron or steel: structures and parts thereof, towers and latt",61,4251215.565,0.0
Fabrics: warp knit (including those made on galloon knitting,61,1589853.239,0.0
"Particle board of wood, whether or not agglomerated with res",61,5826255.591,0.0
"Freezers: of the chest type, not exceeding 800l capacity",61,1558593.302,0.0
"Adhesives: prepared, based on polymers of heading 3901 to 39",61,7667955.78,0.0
"Electrical apparatus: isolating and make-and-break switches,",61,2369142.031,0.0
Oral or dental hygiene preparations: dentifrices,61,4176578.635,0.0
Glassware of a kind used for table or kitchen purposes (not ,61,2027342.685,0.0
"Nitrogen-function compounds: n.e.c. in chapter 29, isocyanat",61,5480340.317,0.0
"Wadding: other articles thereof, of man-made fibres",61,1524161.988,0.0
Medicaments: containing insulin (but not containing antibiot,61,8468989.934,0.0
"Paper and paperboard: multi-ply, coated with kaolin or other",61,9171220.827,0.0
Phenolic resins: in primary forms,61,2150198.444,0.0
"Organic surface-active agents: anionic (other than soap), wh",60,2935610.846,0.0
"Coal: (other than anthracite and bituminous), whether or not",60,63732562.056,0.0
"Aluminium: casks, drums, cans, boxes and the like for any ma",60,5729404.468,0.0
"Propylene, other olefin polymers: propylene copolymers in pr",60,13594703.958,0.0
"Meters: liquid supply or production meters, including calibr",60,1517253.1909999999,0.0
"Styrene polymers: expansible polystyrene, in primary forms",60,4064996.5,0.0
"Cement: portland, other than white, whether or not artificia",60,5257067.681,0.0
Disinfectants: other than containing goods specified in Subh,60,3095430.944,0.0
"Iron or steel: structures and parts thereof, bridges and bri",60,1601637.348,0.0
Razors,60,2330546.37,0.0
Lifts and skip hoists,60,6150567.507,0.0
"Plastics: polymers of vinyl chloride, containing by weight n",60,2443319.901,0.0
"Aluminium: alloys, hollow profiles",60,5925101.511,0.0
Cellulose ethers: (other than carboxymethylcellulose and its,60,2905383.45,0.0
"Rubber: new pneumatic tyres, of a kind used on motorcycles",60,1911167.901,0.0
"Petroleum gases and other gaseous hydrocarbons: liquefied, n",60,45663353.805,0.0
"Machine-tools: presses for working metal or metal carbides, ",60,3783253.418,0.0
Boilers: parts of steam or other vapour generating boilers,60,2448925.778,0.0
Paints and varnishes: based on polymers n.e.c. in heading no,60,7911571.75,0.0
"Fuses and detonators: safety or detonating fuses, percussion",60,1992235.597,0.0
"Vessels: light, fire-floats, floating cranes and other vesse",60,10270249.474,0.0
"Unused postage, revenue or similar stamps of current or new ",60,2390214.824,0.0
"Iron or non-alloy steel: I sections, hot-rolled, hot-drawn o",60,2877086.968,0.0
"Sanitary towels (pads) and tampons, napkins and napkin liner",60,14485951.964,0.0
Boring and sinking machinery: not self-propelled,59,2451135.666,0.0
"Blood, human or animal, antisera, other blood fractions and ",59,212151614.065,0.0
"Kraft paper and paperboard: kraftliner, uncoated, bleached, ",59,1856798.676,0.0
"Electric accumulators: lead-acid, of a kind used for startin",59,10906979.331,0.0
Fish preparations: fish minced or in forms n.e.c. in heading,59,2384175.054,0.0
Spray guns and similar appliances,59,1988835.124,0.0
Office machines: not elsewhere classified,59,4042273.571,0.0
"Tractors: road, for semi-trailers",59,49655252.708,0.0
Margarine: excluding liquid margarine,59,1612786.5389999999,0.0
"Paper and paperboard: self-adhesive, in rolls or sheets, oth",59,4681111.042,0.0
"Medicaments: containing vitamins or their derivatives, for t",59,4060960.12,0.0
Machinery: used in the industrial preparation or manufacture,59,2691831.024,0.0
Tobacco: other than homogenised or reconstituted or smoking,59,1982810.372,0.0
"Polyesters: n.e.c. in heading no. 3907, unsaturated, in prim",59,2836552.734,0.0
Poly(vinyl alcohol): whether or not containing unhydrolysed ,59,1517898.084,0.0
"Sailboats: with or without auxiliary motor, for pleasure or ",59,2730924.9159999997,0.0
"Rubber: new pneumatic tyres, of a kind used on buses or lorr",58,25886038.732,0.0
Ferro-alloys: ferro-silico-manganese,58,3346221.316,0.0
Solvents and thinners: organic composite solvents and thinne,58,1996973.661,0.0
"Plastics: polymers of vinyl chloride, containing by weight, ",58,3216190.861,0.0
"Paints and varnishes: based on polyesters, dispersed or diss",58,2584256.334,0.0
"Paper and paperboard: uncoated, weight 150g/m2 or less, in r",58,1538434.42,0.0
"Furnaces and ovens: including incinerators, non-electric, fo",58,1750572.405,0.0
"Steel: sinks and wash basins, of stainless steel",58,1382442.484,0.0
"Motorboats: (other than outboard motorboats), for pleasure o",58,14661694.14,0.0
Electric generating sets: (excluding those with spark-igniti,58,4150479.897,0.0
Insecticides: other than containing goods specified in Subhe,58,10069392.586000001,0.0
"Plastics: of polymers of propylene, plates, sheets, film, fo",58,8919343.877,0.0
Plastics: artificial guts (sausage casings) of hardened prot,58,2023543.454,0.0
"Photographic plates and film: in the flat, sensitised, unexp",58,2427592.7800000003,0.0
"Harrows: (excluding disc), scarifiers, cultivators, weeders ",58,1667441.286,0.0
"Machine-tools: for working wood, cork, bone, hard rubber, ha",58,1992860.882,0.0
Reagents: diagnostic or laboratory reagents on a backing and,58,39426455.577,0.0
"Plastics: plates, sheets, film, foil and strip, of polyureth",58,4600059.218,0.0
Whiskies,58,13415183.543,0.0
"Refractory cements, mortars, concretes and similar compositi",58,2609548.92,0.0
Refrigerating or freezing equipment: n.e.c. in heading no. 8,58,11714129.744,0.0
"Medicaments: containing penicillins, streptomycins or their ",58,4100705.635,0.0
"Alcohols: saturated monohydric, propan-1-ol (propyl alcohol)",58,1492216.442,0.0
"Amino-resins: n.e.c. in heading no. 3909, in primary forms",57,7879931.075,0.0
"Plastics: bidets, lavatory pans, flushing cisterns and simil",57,1848026.276,0.0
"Vinyl chloride polymers: monofilament, of which any cross-se",57,3684709.241,0.0
"Fabrics, woven: containing 85% or more by weight of filament",57,1573102.068,0.0
"Electric accumulators: other than lead-acid, nickel-cadmium,",57,1664300.432,0.0
"Fabrics, woven: of polyester staple fibres n.e.c. in chapter",57,1674217.3460000001,0.0
"Machinery: injection-moulding machines, for working rubber o",57,6045792.047,0.0
"Iron or steel: structures and parts thereof, props and simil",57,5337322.979,0.0
Heterocyclic compounds: containing an unfused triazine ring ,57,2512680.339,0.0
"Dryers: for products n.e.c. in heading no. 8419, not used fo",57,2453943.774,0.0
"Vegetable oils: coconut (copra) oil and its fractions, other",57,1734578.573,0.0
"Tools: knives and cutting blades, for machines or mechanical",57,1494340.912,0.0
"Machinery: industrial, for the preparation of meat or poultr",57,2500437.117,0.0
"Vehicles: dumpers, designed for off-highway use, for transpo",57,12716303.219999999,0.0
"Tools, interchangeable: rock drilling or earth boring tools,",57,2205826.5409999997,0.0
Ceramic flags and paving: unglazed,57,13380083.518,0.0
Furnaces and ovens: parts of non-electric furnaces and ovens,57,2336822.678,0.0
"Dairy produce: cheese, processed (not grated or powdered)",57,3607589.7630000003,0.0
"Medium density fibreboard (MDF), of a thickness exceeding 5 ",57,1495341.359,0.0
Soap: in forms n.e.c. in item no. 3401.11,57,1617812.946,0.0
Electro-mechanical domestic appliances: food grinders and mi,57,4936757.029,0.0
"Dog or cat food: put up for retail sale, used in animal feed",56,21273962.431,0.0
"Polyesters: n.e.c. in heading no. 3907, saturated, in primar",56,9660600.839,0.0
Insulated electric conductors: optical fibre cables,56,8484725.057,0.0
"Vessels: n.e.c. in heading no. 8901, for the transport of go",56,46260901.608,0.0
"Electrical apparatus: photosensitive, including photovoltaic",56,88994141.093,0.0
Electric generating sets: with spark-ignition internal combu,56,4586061.862,0.0
"Sulphur of all kinds: other than sublimed, precipitated and ",56,6277991.362,0.0
"Cereals: maize (corn), seed",56,3960478.35,0.0
"Stoppers: caps and lids, of base metal",56,7718569.084,0.0
Gasket sets or assortments of gaskets and similar joints: di,56,1939345.91,0.0
"Tobacco: smoking, other than water pipe tobacco, whether or ",56,4471811.526,0.0
"Machines: cutting, of all kinds, for making up paper pulp, p",56,1601554.072,0.0
"Rubber: vulcanised, conveyor belts or belting, reinforced on",56,1631594.514,0.0
"Machines: for sorting, screening, separating or washing eart",56,2752372.458,0.0
"Chain: articulated link, roller, of iron or steel",56,2012001.781,0.0
"Iron or steel: tube or pipe fittings, flanges, other than st",56,2405071.8619999997,0.0
Cigarettes: containing tobacco,56,18583341.976,0.0
"Iron or steel: tube or pipe fittings, butt welding fittings,",56,1647487.002,0.0
"Medicaments: containing corticosteroid hormones, their deriv",56,10518827.439,0.0
Vodka,56,2239043.807,0.0
Vehicles: crane lorries,56,4894017.877,0.0
"Wood: sawn or chipped lengthwise, sliced or peeled, whether ",56,2778254.494,0.0
"Semiconductor media: smart cards, whether or not recorded, e",56,5699462.789,0.0
Fabrics: knitted or crocheted fabrics of a width exceeding 3,56,6676197.041,0.0
Pharmaceutical goods: dental cements and other dental fillin,56,3017019.075,0.0
"Wood, coniferous: sawn or chipped lengthwise, sliced or peel",56,26325721.684,0.0
"Machinery: extruders, for working rubber or plastics or for ",55,3581814.915,0.0
"Iron or steel: structures and parts thereof, n.e.c. in headi",55,37968753.795,0.0
"Printing machinery: used for printing by means of plates, cy",55,1504991.429,0.0
"Hoods: ventilating or recycling hoods incorporating a fan, w",55,1945329.275,0.0
"Acids: carboxylic acids, (with alcohol function but without ",55,2248224.259,0.0
"Lamps and light fittings: electric, n.e.c. in heading no. 94",55,15729799.842,0.0
Iron or non-alloy steel (excluding cast iron): tubes and pip,55,7182005.291999999,0.0
Graders and levellers,55,2656490.994,0.0
"Plastics: of acrylic polymers, polymethyl methacrylate, plat",55,2071804.711,0.0
"Machinery: for agricultural, horticultural or forestry use a",55,3590284.6489999997,0.0
Gin and geneva,55,1624891.105,0.0
"Machinery: n.e.c. in heading no. 8441, for making up paper p",55,1633638.766,0.0
Furniture incorporating refrigerating or freezing equipment:,55,5459771.619,0.0
"Freezers: of the upright type, not exceeding 900l capacity",55,1934464.269,0.0
Welding machines and apparatus: for arc (including plasma ar,55,1765420.598,0.0
"Oxidation and gum inhibitors, viscosity improvers, anti-corr",55,2710304.723,0.0
"Fertilizers, mineral or chemical: ammonium nitrate with calc",55,2721826.832,0.0
"Fans: table, floor, wall, window, ceiling or roof fans, with",55,4881431.683,0.0
Esters: other than thiophosphoric esters (phosphorothioates),55,1607198.615,0.0
Video recording or reproducing apparatus: other than magneti,55,2842951.937,0.0
Balls: inflatable,55,1421135.754,0.0
"Aluminium: (not alloyed), bars, rods and profiles",55,1407093.228,0.0
"Refrigerators: for household use, compression-type, electric",55,3563833.454,0.0
Vegetable fats and oils and their fractions: partly or wholl,55,3914185.067,0.0
Sulphuric acid: oleum,55,2172845.218,0.0
Sauces: tomato ketchup and other tomato sauces,55,2094708.928,0.0
Tugs and pusher craft,55,3951611.1819999996,0.0
"Slag wool, rock wool and similar mineral wools (including in",55,2956956.209,0.0
"Steel, stainless: tubes, pipes and hollow profiles, welded, ",55,4108276.041,0.0
"Sugars: sucrose, chemically pure, in solid form, not contain",55,11988071.323,0.0
"Vehicles: break-down lorries, road-sweepers, spraying lorrie",55,7695429.835,0.0
"Steel, alloy: bars and rods, hot-rolled, hot-drawn or extrud",55,7470425.811,0.0
"Rubber: vulcanised, conveyor or transmission belts or beltin",55,1670459.472,0.0
"Seats: swivel with variable height adjustment, excluding med",54,4898048.423,0.0
Trailers and semi-trailers: n.e.c. in item no. 8716.3,54,1840632.2249999999,0.0
"Copper: tube or pipe fittings (e.g. couplings, elbows, sleev",54,4690160.084,0.0
"Alcohols: polyhydric, glycerol",54,1889954.794,0.0
"Reservoirs, tanks, vats and similar containers: for any mate",54,4045397.032,0.0
Glass fibres: n.e.c. in heading no. 7019,54,4394892.513,0.0
"Magnesia, fused or dead-burned (sintered): whether or not co",54,2266564.774,0.0
"Granite: articles thereof, (other than simply cut or sawn, w",54,2971203.5640000002,0.0
"Plastics: monofilament, of plastics n.e.c. in heading no. 39",54,2548365.292,0.0
Medicaments: containing alkaloids or their derivatives (but ,54,4739259.085,0.0
Buildings: prefabricated,54,9733667.519,0.0
Cash registers,54,4566317.058,0.0
"Fertilizers, mineral or chemical: nitrogenous, ammonium sulp",54,3618323.069,0.0
Smoothing irons: electric,54,1847818.239,0.0
"Furniture: for medical, surgical, veterinary use (e.g. opera",54,4309281.567,0.0
"Aluminium: (not alloyed), wire, maximum cross-sectional dime",54,3891498.427,0.0
"Vehicles: for transport of goods, n.e.c. in heading no. 8704",54,7685864.529,0.0
"Cosmetic and toilet preparations: powders, whether or not co",54,2473171.147,0.0
Iron: articles of non-malleable cast iron,54,2349375.287,0.0
"Styrene polymers: (other than expansible polystyrene), in pr",54,4225275.467,0.0
"Iron or non-alloy steel (excluding cast iron): seamless, col",54,1852188.698,0.0
Cranes and derricks: designed for mounting on road vehicles,54,2797265.892,0.0
"Fabrics, woven: from high tenacity yarn, of nylon, other pol",54,1460811.285,0.0
"Millstones, grindstones, grinding wheels and the like: of ot",54,2667226.319,0.0
"Vacuum cleaners, with self-contained electric motor, n.e.c. ",54,1545309.824,0.0
"Seats: with metal frames, upholstered, (excluding medical, s",54,7101175.925,0.0
"Fabrics, woven: containing 85% or more by weight of non-text",54,3317066.082,0.0
"Cereals: rice, broken",54,2759398.213,0.0
"Cereals: maize (corn), other than seed",54,49090763.142,0.0
Polyurethanes: in primary forms,54,6924305.844,0.0
Tobacco: homogenised or reconstituted,54,5728877.543,0.0
Tobacco: partly or wholly stemmed or stripped,54,9753142.194,0.0
"Iron or steel: stranded wire, ropes and cables, not electric",54,6925423.496,0.0
"Polyethers: in primary forms, excluding polyacetals",54,12236519.42,0.0
"Fabrics: pile fabrics (excluding long pile and loop pile), o",54,3407774.525,0.0
"Games: operated by coins, banknotes, bank cards, tokens or b",54,3995878.005,0.0
Combine harvester-threshers,54,6170311.748,0.0
"Cycles: parts thereof, brakes, including coaster braking hub",54,1550844.5860000001,0.0
Machinery: for packing or wrapping,53,8258427.193,0.0
Cosmetic and toilet preparations: manicure or pedicure prepa,53,1337223.739,0.0
Pharmaceutical goods: chemical contraceptive preparations ba,53,3245359.228,0.0
"Paper and paperboard: uncoated, fluting paper other than sem",53,4404729.7700000005,0.0
"Cells and batteries: primary, manganese dioxide",53,3520199.7690000003,0.0
"Tools: for working in the hand, (other than chain saws), hyd",53,1995869.536,0.0
Telephones for cellular networks or for other wireless netwo,53,281962811.76100004,0.0
"Cement, concrete or artificial stone: tiles, flagstones and ",53,1469932.218,0.0
"Furnaces and ovens: electric, for industrial or laboratory u",53,2053237.702,0.0
Mastics: painters' fillings,53,7002494.865,0.0
"Petroleum coke: (not calcined), obtained from bituminous min",53,10130872.359,0.0
"Medical, surgical instruments and appliances: magnetic reson",53,5866660.086,0.0
"Fertilizers, mineral or chemical: potassic, potassium chlori",53,22356280.004,0.0
"Zinc: unwrought, (not alloyed), containing by weight 99.99% ",53,9893728.059,0.0
"Printing, copying, and facsimile machines: machines which pe",53,17191104.996,0.0
"Iron or non-alloy steel: flat-rolled, width 600mm or more, e",53,2786480.895,0.0
"Acrylic polymers: (other than polymethyl methacrylate), in p",53,14977594.573,0.0
