rank,k,description_short,average_opportunity_score,total_forecasted_value,total_predicted_growth,high_opportunity_countries,ranked_opportunities
20,710813,"Metals: gold, semi-manufactured",0.4349731322863778,315384704.70321494,4873745.733214986,9,30
21,854239,Electronic integrated circuits: n.e.c. in heading no. 8542,0.43278059639000005,663506226.5372647,-129940908.84273529,8,30
22,260111,Iron ores and concentrates: non-agglomerated,0.43207943926467446,384874493.81559926,-54688023.52340073,3,30
23,851762,Communication apparatus (excluding telephone sets or base st,0.4306126197680527,411938677.0181185,13060547.701118477,3,30
24,848620,Machines and apparatus of a kind used solely or principally ,0.42686127534160667,178212869.69663188,-19321505.32836811,6,30
25,870324,Vehicles: spark-ignition internal combustion reciprocating p,0.42658613336469586,261079844.42657083,37150793.57657083,3,30
26,850440,Electrical static converters,0.4228792683998129,206338937.3387175,34186575.99171749,3,30
27,870829,"Vehicles: parts and accessories, of bodies, other than safet",0.42131236145984363,215198252.79326117,31773905.352261152,3,30
28,854232,Electronic integrated circuits: memories,0.417787870326506,360966057.1842909,-85779407.2607091,8,30
29,260300,Copper ores and concentrates,0.4145774156136374,301449722.52446806,26417374.591468055,3,30
30,870899,Vehicle parts and accessories: n.e.c. in heading no. 8708,0.41354188912787365,202009059.86658767,22634730.473587662,2,30
31,740311,"Copper: refined, unwrought, cathodes and sections of cathode",0.4089987077147827,172124251.27257147,-9529171.18742854,3,30
32,901890,"Medical, surgical or dental instruments and appliances: n.e.",0.4068259629491065,167591399.17529532,22898936.250295326,3,30
33,870840,Vehicle parts: gear boxes and parts thereof,0.3922657825846489,154566207.145522,13781908.087521983,0,30
34,210690,Food preparations: n.e.c. in item no. 2106.10,0.38068150523049304,84318106.71577157,5426736.917771571,0,30
35,120190,"Soya beans: other than seed, whether or not broken",0.37940660909547996,230767812.45661524,-3970506.8213847587,3,30
36,848180,"Taps, cocks, valves and similar appliances: for pipes, boile",0.37264392082968506,93884057.3100605,2457102.858060507,0,30
37,392690,Plastics: other articles n.e.c. in chapter 39,0.36131857422124697,114408974.2334129,-5198292.523587096,0,30
38,732690,Iron or steel: articles n.e.c.in heading 7326,0.35666290948993157,85594107.0863095,-1867125.0636905166,0,30
39,847150,Units of automatic data processing machines: processing unit,0.353861552289476,172917886.9642291,-15353501.616770878,3,30
40,710239,"Diamonds: non-industrial, (other than unworked or simply saw",0.33802893378677645,100871304.01114222,-75222405.67285778,0,30
41,100199,"Cereals: wheat and meslin, other than durum wheat, other tha",0.3226907712782924,48555199.40735129,-11152168.199648704,1,30
42,847330,Machinery: parts and accessories of the machines of heading ,0.32129986991380094,205443775.11470786,-62582774.51529214,3,30
43,950300,"Tricycles, scooters, pedal cars and similar wheeled toys: do",0.315552835234343,79715343.7486992,-22924039.1203008,0,30
44,847130,"Automatic data processing machines: portable, weighing not m",0.31244965308913414,222462185.50212407,-86790997.69487594,3,30
45,852990,Reception and transmission apparatus: for use with the appar,0.3118525936247548,67124693.94828668,-27499921.51871333,0,30
46,844399,"Printing machinery: parts and accessories, n.e.c. in item no",0.31140179846967186,65520180.12462173,-12670985.935378276,0,30
47,847170,Units of automatic data processing machines: storage units,0.2894403096749966,72048783.73994768,-40358665.126052335,0,30
48,852872,"Reception apparatus for television, whether or not incorpora",0.287244690378328,50576704.690917954,-20116939.171082042,0,30
49,853400,Circuits: printed,0.2851383800969992,75354723.2759028,-33593672.61309721,0,30
50,851770,Telephone sets and other apparatus for the transmission or r,0.28346295935507554,80806907.87770641,-53851342.95829359,0,30
